label,tweet
1,all women's facility or program = cool! empowering! all men's facility or program = gay or misogynistic.
1,damn she's bold
1,so when is your next klan meeting?! my wife isn't white &amp; i'm proud of her &amp; our love. we are each others gift froma|
1,cleveland police union overwhelmingly endorses trump for president 75% of cops are &lt;&lt;
1,this sums up why i voted for not or syndrome but sovereignty and democracy
1,against &amp;
1,"carl paladino, ally, wishes obama dead of mad cow disease in a17"
1,vandalised in in condemns act
1,tell that jeffery beauregard to quit foolin' around and come pick up his hood &amp; sheets for saturdaa|
1,wahhhh!!!!! white ppl arent allowed to do this!!! ddd. fuck you rich. we don't care d
1,"please don't forget to use the word ! that is what ""binds"" these men. we can never ignore or excuse thata|"
1,makes me sick that 4 ovr 25 yrs idolized george bailey but 2016 choose / / learned 0
1,don't let the skate on his true record of !
1,thought factory: left-right polarisation! +8
1,when the waiter asks if he wants to eat the plate aswell...
1,. . denial.
1,atk porn pics representations of women in men's alcohol ads
1,3 officers fired over target practice 'jokes'
1,did you vote for this animal america: no fat chicks
1,"check out this flyer for yay titties! question: do we have to bring my own pussy to grab, or will pussy bea|"
1,".@user while can use phrases like is acceptable 2 ya, hm u isa|"
1,"i know gb &amp; who's less racist than i'm a wog or should i say ""nut"""
1,d own team up with &amp; show what &amp; combat
1,fantastic video on hate of men.
1,what makes me please let me know!!
1,shot to racism.
1,against community in
1,1.48 projection s
1,and is alive and well on the never let them tell you it isn't.
1,"i'm not a lady, bc i have a voice, opinion and i'm not scared to speak my mind! wait.. isn't that &amp; againsta|"
1,are you .. feel like the are stomping on you? listen
1,i've had 9.5 years of mostly &amp; even '#drs'... just leave me to die!
1,.@user ends 2016 with a hopeful message against in the music industry via
1,"book?? wtf, that's reich?"
1,"work at seeing, naming and dismantling my own, others and systems ,"
1,two bots one girl
1,scatter may we bless&amp;keep shine upon be gracious look kindly toward one another. let us all as aa|
1,community: look at
1,"no liberal believes that. we are the pay of inclusivity who believes in equality for all, anywhere. you are traina|"
1,is an 83 year old man still young enough to teach him about sexism and what not to say about women?
1,"whining ""women have it so much harder than men, cause ."""
1,carl palladino unfit to be on buffalo school board.
1,council staff have been instructed by the anc to go slow and make the da look bad. this was exposed a few weeks ago.
1,"emma stone on hollywood : ""they've given my jokes away to male co-stars"" viaa|"
1,your comments are reflections of ignorance and c@user
1,clearly just humour. attempt by media to undermine won't work. trump is not a .
1,less more seems in end evil a hole wins george bailey=
1,nick cannon speaks out against the systemic of via
1,"have we ever had peotus willing to complain abt his defeated opponent &amp; pay well after election over, and to do sa|"
1,factophobia ale with people in 2017 who use following words:
1,caroline is a --&gt; &lt;-- hating on wife
1,"congrats, tucker, you came off exactly as you are."
1,those opposed to will let know our agenda
1,if i ever met him i would drop that pos right where he stood! is nothing but a
1,"and how do jews plan on doing the work of god without god? matthew 1:23 ""...and they will call him immanuela (whica|"
1,"so, no one, no one, in line said anything... silence is complicity in racism. speak up pea|"
1,i can't believe that they don't show blazing saddles on tv any more just because the lead actor is a black man... that's
1,is mexican a language? dude it's obvious you back trump. he said he loves the uneducated.
1,happy new year white people elected a president who treats women like crap and a biher disrespectful kkk suppoed white devil.
1,i'm not a but is the
1,i can't believe you keep a like as your spokesperson. what a loser company you are.
1,white fragility: why itas so hard to talk to white people about :
1,"d' ""the deafening silence from anti-racist activists regarding in porn is hard to comprehend."" htta|"
1,"tonight in proudly presented by goverment, police + media! it's a big staging going on there!"
1,"this! deaths blamed on victims' ""culture"" by council what about paying maybe?"
1,more evil jew why is it jew controlled media has never and never will cite any non white groua|
1,"like all religions, islam is a strong unifying force. a| a|"
1,against &amp;
1,ouuh fuck it!
1,you might be a libtard if...
1,"here's how to combat violent extremism in 2017. ""the white nationalist who came to dinner"""
1,pathetic fallacy? infantile ? just in case anyone wondered whether had a brain we have prooa|
1,is the most hated women in america today! get your facts straight ! her and her
1,"why do refer to everyone else as racist. simple, they're projecting their intolerance."
1,"white people got nothing to do with this nigga. it's just one sick, horrible person, sadly all youa|"
1,dear you are a asshole. please go fuck yourself.
1,"more propaganda from - this time videos on ""how to properly stab a jew"""
1,body cam reveals black students threatening white frat boys...
1,vps got multi-million dollar bonuses while average americans lost their homes.
1,"no it doesn't, germans, even fascists rape too. so how should help?"
1,2016 - the year in
1,you might be a libtard if...
1,muslims toured by officials dC/ .@user and her rula|
1,why? it's gonna suck - no one wants anything to do with this shitfest
1,"pastor maimane won't respond to that,zille is his boss and she literally made him.he will kiss his job goodbye shoua|"
1,just asking....oh and of course black people can be racist. that belief in itself is superior and by definition is .
1,you win douchelord of the year. good work.
1,"stones and humans are different, but to gravity thereas no difference."
1,racial profiling by in cologne. such disgusting...
1,lock the gate!
1,"engagement to a white . after he calls her a nig$a, it will be over!"
1,(only) black lives matter also closely affiliated with and suppoed by workers world pay and other communist orga|
1,"fuck off, we're full."
1,jews &gt;
1,"who had that 4 beat up a so isn't that ? no, 3 bp might make it 2 cou alive but serve life somehow. vs.."
1,"this really is some lovely company you have there, petous and well done."
1,how does it feel to be most hated potus ever?
1,twitter is full of vile but man does it give me the juice to
1,critics threaten boycotts of simon &amp; schuster over milo yiannopoulos book deal | the huffington post
1,"president held a private screening of d.w. griffith's ""bih of a nation"""
1,"like all religions, islam can be a strong unifying force."
1,"stuakenyon81 swiftly sharpens the fang , &amp; eevalancaster"
1,"note for those who call for opposing the latest ad: damn right we are! get that filth off the net, you race-traitors-"
1,"""nigger?"" of white kid growing up in the 60's."
1,yoyas market in deming nm did not sell beer to me because i'm white they said they were closed then a hispanic walked in n they sold
1,are you &amp; feel like a| are stomping on you? listen
1,the latest the liveleap bonus daily! thanks to
1,you might be a libtard if...
1,you might be a libtard if...
1,the scars left by us waime camps mt
1,live! swiftly sharpens the fang tale of a|
1,book - enduring conviction: fred korematsu &amp; his quest for hta|
1,"come in, =fraud &amp; documented lost base after calling them he's pivoa|"
1,you might be a libtard if...
1,"all happy for A"" what i don't get is the incessant but thin veiled against other gay minorities?"
1,he graduated from &amp; his friends wanted him 2 forget his rector against
1,this is what like... lol wtf is this? this is why you all let a get in the white house. you're all a shame.
